index,classCode,section,className
17706,33:010:272,01,INTRODUCTION TO FINANCIAL ACCOUNTING
17707,33:010:272,03,INTRODUCTION TO FINANCIAL ACCOUNTING
17708,33:010:272,04,INTRODUCTION TO FINANCIAL ACCOUNTING
17709,33:010:272,05,INTRODUCTION TO FINANCIAL ACCOUNTING
17710,33:010:272,08,INTRODUCTION TO FINANCIAL ACCOUNTING
17711,33:010:272,12,INTRODUCTION TO FINANCIAL ACCOUNTING
17712,33:010:272,14,INTRODUCTION TO FINANCIAL ACCOUNTING
17713,33:010:272,16,INTRODUCTION TO FINANCIAL ACCOUNTING
17714,33:010:272,17,INTRODUCTION TO FINANCIAL ACCOUNTING
17715,33:010:272,19,INTRODUCTION TO FINANCIAL ACCOUNTING
17716,33:010:272,20,INTRODUCTION TO FINANCIAL ACCOUNTING
17717,33:010:272,H1,INTRODUCTION TO FINANCIAL ACCOUNTING
17718,33:010:275,01,INTRODUCTION TO MANAGERIAL ACCOUNTING
17719,33:010:275,03,INTRODUCTION TO MANAGERIAL ACCOUNTING
17720,33:010:275,04,INTRODUCTION TO MANAGERIAL ACCOUNTING
17721,33:010:275,05,INTRODUCTION TO MANAGERIAL ACCOUNTING
17722,33:010:310,01,ACCTNG FOR ENGINEERS
17723,33:010:325,01,INTERMED ACCTNG I
17724,33:010:325,02,INTERMED ACCTNG I
17725,33:010:325,03,INTERMED ACCTNG I
17726,33:010:326,01,INTERMED ACCTNG II
17727,33:010:326,02,INTERMED ACCTNG II
17728,33:010:326,03,INTERMED ACCTNG II
17729,33:010:401,01,ADVANCED ACCOUNTING
17730,33:010:401,02,ADVANCED ACCOUNTING
17731,33:010:415,01,CONCEPTS OF AUDITING
17732,33:010:415,02,CONCEPTS OF AUDITING
17734,33:010:416,02,AUDIT ANALYTICS
17735,33:010:421,01,INCOME TAX ACCOUNTNG
17736,33:010:421,02,INCOME TAX ACCOUNTNG
17737,33:010:421,03,INCOME TAX ACCOUNTNG
17738,33:010:422,01,TPCS INCOME TAXATION
17739,33:010:451,01,COST ACCOUNTING
17740,33:010:451,03,COST ACCOUNTING
17741,33:010:458,01,ACCTNG INFORM SYSTS
17742,33:010:458,02,ACCTNG INFORM SYSTS
17743,33:010:458,03,ACCTNG INFORM SYSTS
17744,33:010:495,H1,HONORS PROJECT ACCTG
17745,33:010:496,H1,HONORS PROJECT ACCTG
17746,33:011:100,03,INTRO TO BUSINESS
17747,33:011:100,04,INTRO TO BUSINESS
17748,33:011:124,01,RU-FIT RBS
17749,33:011:124,02,RU-FIT RBS
17750,33:011:124,03,RU-FIT RBS
17751,33:011:124,04,RU-FIT RBS
17752,33:011:124,05,RU-FIT RBS
17753,33:011:124,06,RU-FIT RBS
17754,33:011:231,01,WOMEN'S BUSINESS LEADERSHIP INITIATIVE SEMINAR 1
17432,33:011:270,90,BYOC: CONTINOUS BUSINESS MONITORING
17434,33:011:271,90,BYOC: EMERGING TECHNOLOGIES IN BUSINESS
17436,33:011:272,90,BYOC: BUSINESS PROCESS AUTOMATION
17438,33:011:273,90,BYOC: CLOUD COMPUTING BLOCKCHAIN & CRYPTO
17440,33:011:274,90,BYOC: AI IN ACCOUNTING & AUDIT
17442,33:011:275,90,BYOC: DESIGN IT YOURSELF IN ACCOUNTING & AUDIT
17756,33:011:300,02,BUSINESS FORUM
17757,33:011:300,03,BUSINESS FORUM
19098,33:011:301,01,FOUNDATIONS FOR YOUR CAREER JOURNEY
19099,33:011:301,02,FOUNDATIONS FOR YOUR CAREER JOURNEY
19100,33:011:301,03,FOUNDATIONS FOR YOUR CAREER JOURNEY
19101,33:011:301,04,FOUNDATIONS FOR YOUR CAREER JOURNEY
17759,33:011:380,01,COOPERATIVE EDUCATION EXPERIENCE
17760,33:011:390,90,PERSONAL FINANCIAL PLANNING
17761,33:011:482,01,SPECIAL TOPICS IN ADMINISTRATIVE STUDIES
17763,33:011:482,02,SPECIAL TOPICS IN ADMINISTRATIVE STUDIES
17767,33:011:485,01,FIELD INTERNSHIP IN BUSINESS
05814,01:016:220,01,ANCIENT AFRICA
05816,01:016:301,01,IND STY AFRICAN AREA
05817,01:016:303,01,DIRECT INTRN AFR STY
05818,01:016:350,01,LIT & CULT LUSOPH AFRI
05699,01:013:111,01,THE BIBLE IN ARAMAIC
05701,01:013:120,01,LITERARY EGYPT
05703,01:013:140,01,ELEMENTARY ARABIC I
05705,01:013:140,02,ELEMENTARY ARABIC I
05707,01:013:140,03,ELEMENTARY ARABIC I
05709,01:013:140,04,ELEMENTARY ARABIC I
05711,01:013:141,01,ELEMENTARY ARABIC II
05713,01:013:143,90,ARABIC LAB 1
05714,01:013:152,01,ELEM MODERN HEBREW
20568,01:013:154,90,BIBLICAL HEBREW I
05716,01:013:160,01,ELEMENTARY HINDI I
05718,01:013:160,02,ELEMENTARY HINDI I
05720,01:013:161,01,ELEMENTARY HINDI II
05722,01:013:162,01,ELEMENTARY URDU I
05723,01:013:176,01,ELEMENTARY PERSIAN I
05727,01:013:190,01,ELEMENTARY TURKISH I
19167,01:013:192,01,ELEMENTARY TWI I
20312,01:013:194,90,ELEMENTARY YORUBA
05731,01:013:203,01,"LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH ASIA"
05732,01:013:204,01,INTRODUCTION TO DISCOURSE ANALYSIS
05733,01:013:204,02,INTRODUCTION TO DISCOURSE ANALYSIS
05734,01:013:210,90,WORLD LITERATURE AND SOCIAL CHANGE
05735,01:013:225,90,GLOBAL ARABIC
05736,01:013:225,91,GLOBAL ARABIC
19388,01:013:232,01,WOMEN WRITERS OF SOUTH ASIA
05737,01:013:240,01,INTERMEDIATE ARABIC I
05739,01:013:240,02,INTERMEDIATE ARABIC I
05741,01:013:252,01,INTERMED MOD HEBREW
05745,01:013:260,01,INTERMEDIATE HINDI I
05749,01:013:276,01,INTERMEDIATE PERSIAN I
05753,01:013:290,01,INTERMEDIATE TURKISH I
05756,01:013:308,01,MINORITIES IN THE MIDDLE EAST
05759,01:013:311,01,WOMEN WRITERS OF AFRICA
05760,01:013:312,01,AFRICN FOLKLORE & MYTH
05761,01:013:321,01,INDEPENDENT STUDY
05762,01:013:331,01,MOD LIT SOUTH ASIA
05764,01:013:337,01,FILM AND LITERATURE IN SOUTH ASIA
05766,01:013:340,01,ADVANCED ARABIC I
05774,01:013:352,01,ADV MODERN HEBREW
05776,01:014:103,01,INTRODUCTION TO AFRICANA STUDIES
05777,01:014:103,02,INTRODUCTION TO AFRICANA STUDIES
05778,01:014:103,03,INTRODUCTION TO AFRICANA STUDIES
05779,01:014:103,04,INTRODUCTION TO AFRICANA STUDIES
05780,01:014:132,01,BLACK EXPERIENCE AND FILM MEDIUM
05781,01:014:140,MA,INTRODUCTION TO AMERICAN CULTURES
05783,01:014:202,90,WHAT EVERYONE SHOULD KNOW ABOUT 'RACE'
05784,01:014:203,01,BLACK EXPERIENCE IN AMERICA
05787,01:014:210,90,AFRICA: CONTINENT OF THE FUTURE?
05788,01:014:223,01,INDEPENDENT STUDY
05789,01:014:233,01,INTRODUCTION TO RESEARCH IN AFRICANA STUDIES
05793,01:014:286,01,MENTORING AS PUBLIC SERVICE I
05797,01:014:305,01,"RACE, INTERNATIONAL LAW AND EMPIRE"
05799,01:014:306,01,THE BLACK WOMEN IN POLITICAL CONTEXT
00261,01:014:307,01,AFRICANA COMMUNITY HEALTHCARE EXPERIENCEPERSPECTIVES FROM PATIENTS & PHYSICIANS
05800,01:014:317,01,BLACK PROFILES
05801,01:014:341,01,SUPERVISED COMMUNITY PLACEMENT
05802,01:014:347,01,HEALTH ISSUES IN THE AFRICAN-AMERICAN COMMUNITY
05803,01:014:362,01,"BLACK IDENTITY, RELIGION AND POLITICS"
05804,01:014:380,01,BLACKS IN SCIENCE
05807,01:014:385,01,MENTORING AS PUBLIC SERVICE II
19576,01:014:386,01,AFRICAN AMERICANS & SPORTS
05808,01:014:423,01,BLACK THOUGHT
05810,01:014:490,01,SEMINAR IN AFRICANA STUDIES
05811,01:014:490,02,SEMINAR IN AFRICANA STUDIES
05812,01:014:491,01,INDEPENDENT STUDY
05813,01:014:497,01,AFR STDY SCHOL PROJ
12497,11:035:258,M1,FIELD IDENTIFICATION OF BIRDS FOR USE INLAND MANAGEMENT
12499,11:035:268,M1,"ENVIRONMENTAL POLLUTION - ISSUES IN AGRICULTURE, INDUSTRY AND COMMUNITIES"
12500,11:035:272,M1,RIVER AND STREAM ECOLOGY
12501,11:035:272,MA,RIVER AND STREAM ECOLOGY
12502,11:035:274,MA,ORGANIC FARMING AND GARDENING
12504,11:035:280,MA,AMERICAN LAWNS AND TURFGRASS
12487,11:020:210,01,INTRODUCTION TO AGRICULTURE AND FOOD SYSTEMS
12488,11:020:255,01,SPECIAL TOPICS IN AGRICULTURE AND FOOD SYSTEMS
12489,11:020:305,01,STARTING AND MANAGING A SMALL FARM
12491,11:020:337,01,SUSTAINABILITY: TACKLING FOOD WASTE
